,train,test
0,0.6097867398648649,0.6123922413793104
1,0.6968644425675675,0.6948814655172414
2,0.7288956925675676,0.717834051724138
3,0.7806059966216216,0.7453663793103449
4,0.8058171452702704,0.7814655172413794
5,0.7495988175675675,0.7120689655172414
6,0.7966532939189189,0.7387931034482759
7,0.8206608952702703,0.7674030172413794
8,0.8657622466216216,0.8022629310344828
9,0.8782622466216216,0.8057112068965517
10,0.8641997466216216,0.7786637931034484
11,0.9012035472972973,0.8041487068965518
12,0.8945629222972974,0.8055495689655172
13,0.8856841216216216,0.7814655172413794
14,0.9074535472972973,0.8007004310344827
15,0.9074535472972973,0.7864762931034484
16,0.9246410472972973,0.8008620689655173
17,0.922972972972973,0.8005387931034482
18,0.931957347972973,0.8103987068965518
19,0.926488597972973,0.7975754310344827
20,0.940160472972973,0.8089978448275861
21,0.9392736486486486,0.7897629310344827
22,0.9400548986486486,0.7942887931034484
23,0.9439611486486486,0.7896012931034483
24,0.9443517736486486,0.7927262931034483
