,train,test
0,0.7163483796296296,0.7222222222222222
1,0.7366319444444445,0.7299679487179487
2,0.7811342592592593,0.7546741452991452
3,0.7774305555555556,0.7585470085470085
4,0.7913194444444445,0.751201923076923
5,0.8327835648148149,0.765090811965812
6,0.8370081018518518,0.7789797008547008
7,0.8719618055555556,0.8036858974358974
8,0.8880208333333334,0.8032852564102564
9,0.889525462962963,0.7998130341880342
10,0.8695601851851852,0.7729700854700855
11,0.9074363425925925,0.8063568376068376
12,0.9230613425925925,0.8102297008547008
13,0.9366319444444444,0.8080929487179487
14,0.9392361111111112,0.8098290598290598
15,0.9418402777777778,0.7951388888888888
16,0.9448784722222222,0.796474358974359
17,0.9422743055555556,0.7873931623931624
18,0.9513888888888888,0.7994123931623931
19,0.9522569444444444,0.781784188034188
20,0.9526909722222222,0.8015491452991452
21,0.9592013888888888,0.7912660256410257
22,0.9600694444444444,0.7912660256410257
23,0.96484375,0.8072916666666666
24,0.96484375,0.8090277777777778
