,train,test
0,0.7523930048347451,0.7532226483112385
1,0.767211261566428,0.7723312300639275
2,0.7620233739584842,0.7689774316349985
3,0.7888408106285691,0.7748834850790663
4,0.8022230942051988,0.7876111300622992
5,0.8275724940734605,0.8081581280718793
6,0.8316453374038872,0.827546164680081
7,0.8456724900051736,0.8202361489843502
8,0.8496977723478545,0.8245888368265339
9,0.8669910778121279,0.8247311107636465
10,0.8682459353561338,0.8283152329562302
11,0.8826778755654523,0.820816541592867
12,0.8881603163379244,0.8292171542333229
13,0.8919851201667339,0.8222441062984309
14,0.9052591360049845,0.8375634014886191
15,0.9173097706319002,0.8238319982213306
16,0.9049502619401286,0.8047392343666885
17,0.9239251998522501,0.8318864067285647
18,0.9328660051131339,0.8311488261456628
19,0.9367714599751599,0.828812676632172
20,0.9419961413010848,0.8081761968080691
21,0.9497749910827851,0.8050750747433467
22,0.9504560866110431,0.8097681057532515
23,0.9512838215569719,0.8142312179901272
24,0.9522145647352197,0.8142312179901272
