,train,test
0,0.6257421875,0.6241477272727273
1,0.65677734375,0.6518110795454546
2,0.71869140625,0.7012784090909091
3,0.7303515625,0.6889204545454546
4,0.74625,0.7146306818181818
5,0.7369140625,0.7029119318181818
6,0.76306640625,0.7133167613636364
7,0.7980078125,0.7136363636363636
8,0.799140625,0.6732954545454546
9,0.8165625,0.7116832386363636
10,0.833046875,0.6950994318181818
11,0.83923828125,0.6996448863636364
12,0.8494921875,0.6901988636363636
13,0.88541015625,0.6934659090909091
14,0.86755859375,0.6950994318181818
15,0.90076171875,0.6797940340909091
16,0.90716796875,0.7002840909090909
17,0.9086328125,0.6843394886363636
18,0.92474609375,0.6976917613636364
19,0.93869140625,0.6934659090909091
20,0.93255859375,0.6915127840909091
21,0.9418359375,0.6862926136363636
22,0.94427734375,0.6980113636363636
23,0.94943359375,0.6937855113636364
24,0.94943359375,0.6941051136363636
