,train,test
0,0.6444010416666667,0.6157986111111111
1,0.7057291666666667,0.678761574074074
2,0.7520833333333333,0.7013310185185185
3,0.7817708333333333,0.6976273148148148
4,0.765625,0.7007523148148148
5,0.7891927083333333,0.7156828703703704
6,0.8013020833333334,0.7057291666666667
7,0.80859375,0.7179398148148148
8,0.8104166666666666,0.7169560185185185
9,0.834765625,0.7085648148148148
10,0.848046875,0.7232060185185185
11,0.8598958333333334,0.728587962962963
12,0.8686197916666666,0.7294560185185185
13,0.8877604166666666,0.7276041666666667
14,0.8891927083333334,0.7132523148148148
15,0.8997395833333334,0.7132523148148148
16,0.9078125,0.711111111111111
17,0.923046875,0.7054398148148148
18,0.9259114583333334,0.7122685185185185
19,0.9333333333333333,0.7169560185185185
20,0.9352864583333333,0.7169560185185185
21,0.9341145833333334,0.7141203703703705
22,0.9454427083333334,0.7197916666666667
23,0.9470052083333333,0.7260416666666667
24,0.9458333333333334,0.7276041666666667
