,train,test
0,0.6084635416666667,0.6076967592592593
1,0.6084635416666667,0.6076967592592593
2,0.6623697916666667,0.6470486111111111
3,0.6904947916666667,0.662962962962963
4,0.7018229166666667,0.6346643518518518
5,0.7486979166666667,0.6773148148148148
6,0.7552083333333333,0.6935185185185185
7,0.78828125,0.6917824074074075
8,0.8138020833333334,0.7157986111111111
9,0.7955729166666667,0.6636574074074074
10,0.8350260416666666,0.6710648148148148
11,0.8579427083333334,0.6936342592592593
12,0.8731770833333334,0.716087962962963
13,0.8940104166666666,0.6805555555555556
14,0.896875,0.6745949074074075
15,0.9123697916666667,0.6733217592592593
16,0.91328125,0.6733217592592593
17,0.9338541666666667,0.6989004629629629
18,0.9423177083333334,0.709837962962963
19,0.9434895833333334,0.6751736111111111
20,0.955078125,0.6946180555555556
21,0.958203125,0.7001736111111111
22,0.9591145833333334,0.7095486111111111
23,0.95703125,0.6920717592592592
24,0.965234375,0.723900462962963
25,0.9734375,0.6910879629629629
26,0.9765625,0.6858217592592593
27,0.978515625,0.702025462962963
28,0.97734375,0.6910879629629629
29,0.98125,0.6910879629629629
30,0.984375,0.7007523148148148
31,0.984765625,0.7057291666666667
32,0.98359375,0.7104166666666667
33,0.9828125,0.7070023148148148
34,0.98828125,0.6997685185185185
35,0.9890625,0.694212962962963
36,0.98984375,0.7038773148148147
37,0.9890625,0.694212962962963
38,0.989453125,0.692650462962963
39,0.990234375,0.6898148148148148
40,0.990234375,0.681423611111111
41,0.991015625,0.6873842592592593
42,0.988671875,0.7057291666666667
43,0.9890625,0.7138310185185185
44,0.98984375,0.7075810185185185
45,0.99296875,0.6910879629629629
46,0.99296875,0.686400462962963
47,0.99296875,0.687962962962963
48,0.992578125,0.689525462962963
49,0.992578125,0.689525462962963
