,h,l,n,fairness_sent,cor,cor_abs
111,75,475,50,fairness_sent,0.3258,0.3258
112,75,475,75,fairness_sent,0.2954,0.2954
113,75,500,25,fairness_sent,-0.3508,0.3508
114,75,500,50,fairness_sent,0.3149,0.3149
115,75,500,75,fairness_sent,0.2934,0.2934
116,100,25,25,fairness_sent,-0.2056,0.2056
117,100,50,25,fairness_sent,0.3935,0.3935
118,100,50,50,fairness_sent,-0.3062,0.3062
119,100,75,25,fairness_sent,0.4104,0.4104
120,100,75,50,fairness_sent,0.4425,0.4425
121,100,75,75,fairness_sent,0.3531,0.3531
122,100,100,25,fairness_sent,-0.3883,0.3883
123,100,100,50,fairness_sent,0.4565,0.4565
124,100,100,75,fairness_sent,0.4623,0.4623
125,100,100,100,fairness_sent,0.3395,0.3395
126,100,125,25,fairness_sent,-0.4118,0.4118
127,100,125,50,fairness_sent,-0.4462,0.4462
128,100,125,75,fairness_sent,-0.4495,0.4495
129,100,125,100,fairness_sent,-0.4495,0.4495
130,100,150,25,fairness_sent,-0.4251,0.4251
131,100,150,50,fairness_sent,0.4335,0.4335
132,100,150,75,fairness_sent,0.4504,0.4504
133,100,150,100,fairness_sent,0.4417,0.4417
134,100,175,25,fairness_sent,-0.4209,0.4209
135,100,175,50,fairness_sent,-0.4242,0.4242
136,100,175,75,fairness_sent,0.46,0.46
137,100,175,100,fairness_sent,0.4269,0.4269
138,100,200,25,fairness_sent,-0.401,0.401
139,100,200,50,fairness_sent,0.4247,0.4247
140,100,200,75,fairness_sent,0.4193,0.4193
141,100,200,100,fairness_sent,0.4034,0.4034
142,100,225,25,fairness_sent,-0.4079,0.4079
143,100,225,50,fairness_sent,0.4343,0.4343
144,100,225,75,fairness_sent,0.4103,0.4103
145,100,225,100,fairness_sent,0.3692,0.3692
146,100,250,25,fairness_sent,-0.3935,0.3935
147,100,250,50,fairness_sent,0.4052,0.4052
148,100,250,75,fairness_sent,0.3928,0.3928
149,100,250,100,fairness_sent,0.3553,0.3553
150,100,275,25,fairness_sent,-0.3822,0.3822
151,100,275,50,fairness_sent,0.3936,0.3936
152,100,275,75,fairness_sent,0.36,0.36
153,100,275,100,fairness_sent,0.3162,0.3162
154,100,300,25,fairness_sent,-0.3658,0.3658
155,100,300,50,fairness_sent,0.3987,0.3987
156,100,300,75,fairness_sent,0.3613,0.3613
157,100,300,100,fairness_sent,0.3138,0.3138
158,100,325,25,fairness_sent,-0.3553,0.3553
159,100,325,50,fairness_sent,0.3925,0.3925
160,100,325,75,fairness_sent,0.3543,0.3543
161,100,325,100,fairness_sent,0.3297,0.3297
162,100,350,25,fairness_sent,-0.3558,0.3558
163,100,350,50,fairness_sent,0.4114,0.4114
164,100,350,75,fairness_sent,0.3413,0.3413
165,100,350,100,fairness_sent,0.3055,0.3055
166,100,375,25,fairness_sent,-0.3579,0.3579
167,100,375,50,fairness_sent,0.4116,0.4116
168,100,375,75,fairness_sent,0.3241,0.3241
169,100,375,100,fairness_sent,0.2979,0.2979
170,100,400,25,fairness_sent,-0.3416,0.3416
171,100,400,50,fairness_sent,0.4109,0.4109
172,100,400,75,fairness_sent,0.3343,0.3343
173,100,400,100,fairness_sent,0.3109,0.3109
174,100,425,25,fairness_sent,-0.345,0.345
175,100,425,50,fairness_sent,0.4231,0.4231
176,100,425,75,fairness_sent,0.3369,0.3369
177,100,425,100,fairness_sent,0.3059,0.3059
178,100,450,25,fairness_sent,-0.3191,0.3191
179,100,450,50,fairness_sent,0.4281,0.4281
180,100,450,75,fairness_sent,0.3446,0.3446
181,100,450,100,fairness_sent,0.2872,0.2872
182,100,475,25,fairness_sent,0.3043,0.3043
183,100,475,50,fairness_sent,0.4134,0.4134
184,100,475,75,fairness_sent,0.3436,0.3436
185,100,475,100,fairness_sent,0.2895,0.2895
186,100,500,25,fairness_sent,0.3043,0.3043
187,100,500,50,fairness_sent,0.4025,0.4025
188,100,500,75,fairness_sent,0.3268,0.3268
189,100,500,100,fairness_sent,0.2897,0.2897
190,125,25,25,fairness_sent,-0.2139,0.2139
191,125,50,25,fairness_sent,0.3881,0.3881
192,125,50,50,fairness_sent,-0.2489,0.2489
193,125,75,25,fairness_sent,0.4103,0.4103
194,125,75,50,fairness_sent,0.468,0.468
195,125,75,75,fairness_sent,0.3629,0.3629
196,125,100,25,fairness_sent,-0.3991,0.3991
197,125,100,50,fairness_sent,-0.4687,0.4687
198,125,100,75,fairness_sent,0.4815,0.4815
199,125,100,100,fairness_sent,-0.3488,0.3488
