,h,l,n,sanctity_sent,cor,cor_abs
105,75,425,50,sanctity_sent,0.3173,0.3173
106,75,425,75,sanctity_sent,0.3058,0.3058
107,75,450,25,sanctity_sent,-0.2896,0.2896
108,75,450,50,sanctity_sent,0.3205,0.3205
109,75,450,75,sanctity_sent,0.3024,0.3024
110,75,475,25,sanctity_sent,-0.2854,0.2854
111,75,475,50,sanctity_sent,0.337,0.337
112,75,475,75,sanctity_sent,0.3121,0.3121
113,75,500,25,sanctity_sent,-0.2724,0.2724
114,75,500,50,sanctity_sent,0.3339,0.3339
115,75,500,75,sanctity_sent,0.3028,0.3028
116,100,25,25,sanctity_sent,-0.1659,0.1659
117,100,50,25,sanctity_sent,0.341,0.341
118,100,50,50,sanctity_sent,0.3161,0.3161
119,100,75,25,sanctity_sent,0.3487,0.3487
120,100,75,50,sanctity_sent,0.4033,0.4033
121,100,75,75,sanctity_sent,0.3854,0.3854
122,100,100,25,sanctity_sent,-0.3603,0.3603
123,100,100,50,sanctity_sent,-0.4086,0.4086
124,100,100,75,sanctity_sent,-0.4371,0.4371
125,100,100,100,sanctity_sent,0.4497,0.4497
126,100,125,25,sanctity_sent,-0.361,0.361
127,100,125,50,sanctity_sent,0.3987,0.3987
128,100,125,75,sanctity_sent,-0.3854,0.3854
129,100,125,100,sanctity_sent,0.4353,0.4353
130,100,150,25,sanctity_sent,-0.3364,0.3364
131,100,150,50,sanctity_sent,-0.3957,0.3957
132,100,150,75,sanctity_sent,-0.4106,0.4106
133,100,150,100,sanctity_sent,0.3843,0.3843
134,100,175,25,sanctity_sent,0.3193,0.3193
135,100,175,50,sanctity_sent,-0.3723,0.3723
136,100,175,75,sanctity_sent,-0.3912,0.3912
137,100,175,100,sanctity_sent,0.3818,0.3818
138,100,200,25,sanctity_sent,-0.3465,0.3465
139,100,200,50,sanctity_sent,-0.3772,0.3772
140,100,200,75,sanctity_sent,0.401,0.401
141,100,200,100,sanctity_sent,0.3884,0.3884
142,100,225,25,sanctity_sent,-0.3331,0.3331
143,100,225,50,sanctity_sent,0.3762,0.3762
144,100,225,75,sanctity_sent,-0.4056,0.4056
145,100,225,100,sanctity_sent,0.3796,0.3796
146,100,250,25,sanctity_sent,-0.345,0.345
