,h,l,n,care_sent,cor,cor_abs
2859,500,500,250,care_sent,-0.4355,0.4355
2032,400,500,225,care_sent,0.4355,0.4355
1441,325,475,300,care_sent,0.4354,0.4354
732,225,375,175,care_sent,0.4351,0.4351
1823,375,475,350,care_sent,0.4351,0.4351
1054,275,400,250,care_sent,0.4349,0.4349
1822,375,475,325,care_sent,0.4347,0.4347
2439,450,500,175,care_sent,0.4347,0.4347
440,175,275,175,care_sent,0.4347,0.4347
1816,375,475,175,care_sent,-0.4346,0.4346
2695,500,200,200,care_sent,-0.4346,0.4346
2240,425,500,350,care_sent,0.4345,0.4345
706,225,300,200,care_sent,0.4343,0.4343
1629,350,475,325,care_sent,0.4343,0.4343
2232,425,500,150,care_sent,-0.4342,0.4342
563,200,275,200,care_sent,0.4341,0.4341
1203,300,375,50,care_sent,-0.4341,0.4341
355,150,400,25,care_sent,0.434,0.434
1724,375,325,50,care_sent,-0.434,0.434
2253,450,100,100,care_sent,-0.4339,0.4339
1320,325,250,50,care_sent,0.4339,0.4339
155,100,300,50,care_sent,-0.4339,0.4339
329,150,275,125,care_sent,0.4339,0.4339
2449,450,500,425,care_sent,0.4339,0.4339
1448,325,500,150,care_sent,0.4338,0.4338
86,75,275,25,care_sent,-0.4338,0.4338
2725,500,275,275,care_sent,-0.4338,0.4338
83,75,250,25,care_sent,-0.4338,0.4338
268,125,450,100,care_sent,0.4337,0.4337
1311,325,225,50,care_sent,0.4336,0.4336
499,175,500,75,care_sent,0.4335,0.4335
891,250,400,175,care_sent,0.4335,0.4335
2036,400,500,325,care_sent,0.4334,0.4334
625,200,475,150,care_sent,0.4334,0.4334
1283,325,100,100,care_sent,-0.4333,0.4333
2626,475,475,125,care_sent,-0.4331,0.4331
131,100,150,50,care_sent,-0.4331,0.4331
707,225,300,225,care_sent,0.433,0.433
881,250,375,175,care_sent,0.433,0.433
1268,300,500,175,care_sent,0.4329,0.4329
1253,300,475,100,care_sent,0.4328,0.4328
240,125,325,25,care_sent,-0.4327,0.4327
593,200,375,150,care_sent,0.4327,0.4327
286,150,100,25,care_sent,-0.4327,0.4327
150,100,275,25,care_sent,-0.4326,0.4326
2067,425,175,175,care_sent,-0.4326,0.4326
1091,275,500,75,care_sent,-0.4325,0.4325
1075,275,450,225,care_sent,0.4325,0.4325
441,175,300,25,care_sent,0.4325,0.4325
474,175,400,150,care_sent,0.4324,0.4324
1095,275,500,175,care_sent,0.4324,0.4324
927,250,500,75,care_sent,-0.4324,0.4324
741,225,400,175,care_sent,0.4323,0.4323
462,175,375,25,care_sent,0.4323,0.4323
455,175,350,25,care_sent,0.4323,0.4323
68,75,125,25,care_sent,-0.4322,0.4322
159,100,325,50,care_sent,-0.4321,0.4321
1809,375,450,375,care_sent,0.432,0.432
759,225,450,175,care_sent,0.4319,0.4319
347,150,350,125,care_sent,0.4319,0.4319
751,225,425,200,care_sent,0.4318,0.4318
872,250,350,200,care_sent,0.4318,0.4318
460,175,350,150,care_sent,0.4318,0.4318
695,225,275,150,care_sent,-0.4317,0.4317
1076,275,450,250,care_sent,0.4317,0.4317
760,225,450,200,care_sent,0.4314,0.4314
696,225,275,175,care_sent,0.4314,0.4314
1737,375,350,50,care_sent,-0.4314,0.4314
1081,275,475,100,care_sent,-0.4314,0.4314
70,75,125,75,care_sent,0.4313,0.4313
561,200,275,150,care_sent,0.4312,0.4312
1225,300,400,300,care_sent,0.4311,0.4311
229,125,250,125,care_sent,0.4311,0.4311
742,225,400,200,care_sent,0.431,0.431
1104,300,75,50,care_sent,0.431,0.431
1259,300,475,250,care_sent,0.431,0.431
1493,350,225,50,care_sent,0.4309,0.4309
2419,450,475,125,care_sent,-0.4307,0.4307
1654,375,100,100,care_sent,-0.4307,0.4307
235,125,300,25,care_sent,-0.4305,0.4305
2023,400,475,400,care_sent,0.4305,0.4305
1512,350,275,50,care_sent,-0.4304,0.4304
133,100,150,100,care_sent,0.43,0.43
2467,475,150,50,care_sent,0.43,0.43
341,150,325,125,care_sent,0.43,0.43
191,125,50,25,care_sent,-0.43,0.43
245,125,350,25,care_sent,0.43,0.43
273,125,475,100,care_sent,0.4299,0.4299
2060,425,150,150,care_sent,-0.4298,0.4298
2441,450,500,225,care_sent,-0.4298,0.4298
452,175,325,125,care_sent,0.4298,0.4298
1701,375,275,50,care_sent,0.4297,0.4297
763,225,475,50,care_sent,0.4296,0.4296
163,100,350,50,care_sent,-0.4293,0.4293
1033,275,350,275,care_sent,0.4293,0.4293
713,225,325,150,care_sent,0.4292,0.4292
61,75,50,50,care_sent,-0.429,0.429
862,250,325,200,care_sent,0.429,0.429
453,175,325,150,care_sent,0.429,0.429
585,200,350,150,care_sent,0.4289,0.4289
783,250,75,25,care_sent,0.4289,0.4289
2697,500,225,50,care_sent,0.4287,0.4287
2442,450,500,250,care_sent,-0.4287,0.4287
140,100,200,75,care_sent,0.4287,0.4287
2445,450,500,325,care_sent,0.4286,0.4286
1022,275,325,275,care_sent,0.4285,0.4285
594,200,375,175,care_sent,0.4285,0.4285
1156,300,275,50,care_sent,-0.4283,0.4283
1429,325,450,325,care_sent,0.4282,0.4282
1682,375,225,50,care_sent,0.4281,0.4281
2034,400,500,275,care_sent,0.4279,0.4279
882,250,375,200,care_sent,0.4279,0.4279
513,200,100,100,care_sent,-0.4278,0.4278
394,175,100,100,care_sent,0.4277,0.4277
395,175,125,25,care_sent,0.4277,0.4277
2255,450,125,50,care_sent,-0.4277,0.4277
602,200,400,175,care_sent,0.4276,0.4276
144,100,225,75,care_sent,0.4275,0.4275
1086,275,475,225,care_sent,0.4275,0.4275
930,250,500,150,care_sent,0.4275,0.4275
733,225,375,200,care_sent,0.4274,0.4274
1260,300,475,275,care_sent,0.4274,0.4274
2648,475,500,200,care_sent,0.4273,0.4273
1109,300,100,100,care_sent,-0.4273,0.4273
136,100,175,75,care_sent,0.4272,0.4272
446,175,300,150,care_sent,0.4272,0.4272
258,125,400,100,care_sent,0.4272,0.4272
773,225,500,75,care_sent,-0.4272,0.4272
498,175,500,50,care_sent,-0.4271,0.4271
467,175,375,150,care_sent,0.4271,0.4271
2241,425,500,375,care_sent,0.4271,0.4271
98,75,375,25,care_sent,-0.4269,0.4269
2271,450,175,175,care_sent,-0.4269,0.4269
562,200,275,175,care_sent,0.4268,0.4268
1064,275,425,225,care_sent,0.4268,0.4268
331,150,300,25,care_sent,-0.4268,0.4268
2815,500,450,75,care_sent,0.4266,0.4266
122,100,100,25,care_sent,-0.4265,0.4265
714,225,325,175,care_sent,0.4265,0.4265
367,150,450,25,care_sent,-0.4265,0.4265
373,150,475,25,care_sent,-0.4265,0.4265
1267,300,500,150,care_sent,0.4263,0.4263
650,225,125,125,care_sent,-0.4263,0.4263
586,200,350,175,care_sent,0.4261,0.4261
406,175,175,25,care_sent,0.4261,0.4261
2264,450,150,150,care_sent,-0.4261,0.4261
610,200,425,175,care_sent,0.4261,0.4261
1450,325,500,200,care_sent,0.4259,0.4259
2444,450,500,300,care_sent,0.4258,0.4258
2281,450,225,50,care_sent,0.4258,0.4258
1461,350,75,75,care_sent,0.4258,0.4258
801,250,175,25,care_sent,-0.4258,0.4258
1451,325,500,225,care_sent,0.4256,0.4256
1460,350,75,50,care_sent,-0.4255,0.4255
1044,275,375,275,care_sent,0.4253,0.4253
2237,425,500,275,care_sent,0.4253,0.4253
570,200,300,175,care_sent,0.4252,0.4252
289,150,100,100,care_sent,0.425,0.425
871,250,350,175,care_sent,0.425,0.425
119,100,75,25,care_sent,-0.4248,0.4248
1824,375,475,375,care_sent,0.4247,0.4247
892,250,400,200,care_sent,0.4246,0.4246
1057,275,425,50,care_sent,-0.4246,0.4246
2440,450,500,200,care_sent,0.4246,0.4246
1330,325,275,50,care_sent,-0.4246,0.4246
630,200,500,75,care_sent,-0.4244,0.4244
1640,350,500,250,care_sent,0.4244,0.4244
313,150,225,25,care_sent,0.4242,0.4242
657,225,175,25,care_sent,-0.4241,0.4241
1096,275,500,200,care_sent,0.4241,0.4241
861,250,325,175,care_sent,0.4241,0.4241
215,125,200,25,care_sent,-0.4239,0.4239
1215,300,400,50,care_sent,-0.4239,0.4239
724,225,350,200,care_sent,0.4239,0.4239
507,200,75,25,care_sent,-0.4238,0.4238
1065,275,425,250,care_sent,0.4237,0.4237
361,150,425,25,care_sent,0.4237,0.4237
1638,350,500,200,care_sent,0.4237,0.4237
795,250,150,25,care_sent,0.4237,0.4237
1227,300,425,50,care_sent,-0.4236,0.4236
1562,350,375,50,care_sent,-0.4236,0.4236
2689,500,200,50,care_sent,0.4234,0.4234
1449,325,500,175,care_sent,0.4234,0.4234
873,250,350,225,care_sent,0.4234,0.4234
1751,375,375,50,care_sent,-0.4234,0.4234
2033,400,500,250,care_sent,0.4234,0.4234
2651,475,500,275,care_sent,-0.4233,0.4233
1691,375,250,50,care_sent,0.4232,0.4232
22,50,50,50,care_sent,0.4232,0.4232
1269,300,500,200,care_sent,0.4232,0.4232
1616,350,450,350,care_sent,0.423,0.423
2450,450,500,450,care_sent,0.4228,0.4228
2010,400,475,75,care_sent,0.4228,0.4228
1766,375,400,50,care_sent,-0.4227,0.4227
645,225,100,100,care_sent,-0.4227,0.4227
2077,425,225,50,care_sent,0.4227,0.4227
1288,325,125,125,care_sent,-0.4227,0.4227
35,50,225,25,care_sent,-0.4225,0.4225
1633,350,500,75,care_sent,-0.4225,0.4225
2858,500,500,225,care_sent,-0.4225,0.4225
445,175,300,125,care_sent,0.4225,0.4225
447,175,300,175,care_sent,0.4224,0.4224
902,250,425,200,care_sent,0.4223,0.4223
483,175,450,25,care_sent,-0.4223,0.4223
708,225,325,25,care_sent,0.4223,0.4223
2238,425,500,300,care_sent,0.4222,0.4222
307,150,200,25,care_sent,-0.4222,0.4222
2488,475,225,50,care_sent,0.4221,0.4221
230,125,275,25,care_sent,0.422,0.422
769,225,475,200,care_sent,0.422,0.422
438,175,275,125,care_sent,0.422,0.422
1854,400,125,125,care_sent,-0.4219,0.4219
2480,475,200,50,care_sent,0.4219,0.4219
564,200,300,25,care_sent,0.4217,0.4217
1237,300,425,300,care_sent,0.4216,0.4216
1087,275,475,250,care_sent,0.4214,0.4214
2236,425,500,250,care_sent,0.421,0.421
514,200,125,25,care_sent,0.421,0.421
1502,350,250,50,care_sent,0.4209,0.4209
481,175,425,150,care_sent,0.4208,0.4208
1831,375,500,175,care_sent,-0.4207,0.4207
1845,400,75,75,care_sent,0.4207,0.4207
768,225,475,175,care_sent,0.4207,0.4207
2035,400,500,300,care_sent,0.4206,0.4206
1637,350,500,175,care_sent,0.4205,0.4205
2242,425,500,400,care_sent,0.4204,0.4204
75,75,175,50,care_sent,-0.4204,0.4204
476,175,425,25,care_sent,0.4203,0.4203
1886,400,250,50,care_sent,0.4202,0.4202
938,275,75,25,care_sent,-0.4202,0.4202
371,150,450,125,care_sent,0.4201,0.4201
1639,350,500,225,care_sent,0.42,0.42
571,200,300,200,care_sent,0.42,0.42
1590,350,425,50,care_sent,0.4199,0.4199
2037,400,500,350,care_sent,0.4197,0.4197
577,200,325,150,care_sent,0.4195,0.4195
618,200,450,175,care_sent,0.4195,0.4195
113,75,500,25,care_sent,0.4194,0.4194
864,250,325,250,care_sent,0.4194,0.4194
2027,400,500,100,care_sent,-0.4193,0.4193
1433,325,475,100,care_sent,-0.4193,0.4193
1055,275,400,275,care_sent,0.4192,0.4192
2239,425,500,325,care_sent,0.4191,0.4191
1834,375,500,250,care_sent,0.4191,0.4191
360,150,400,150,care_sent,0.419,0.419
2478,475,175,175,care_sent,-0.4189,0.4189
141,100,200,100,care_sent,0.4188,0.4188
2460,475,100,100,care_sent,-0.4188,0.4188
137,100,175,100,care_sent,0.4188,0.4188
1630,350,475,350,care_sent,0.4187,0.4187
31,50,175,25,care_sent,-0.4187,0.4187
789,250,100,100,care_sent,-0.4187,0.4187
1094,275,500,150,care_sent,0.4187,0.4187
2673,500,125,100,care_sent,-0.4187,0.4187
400,175,150,25,care_sent,0.4187,0.4187
158,100,325,25,care_sent,-0.4186,0.4186
379,150,500,25,care_sent,0.4186,0.4186
2031,400,500,200,care_sent,-0.4186,0.4186
2235,425,500,225,care_sent,0.4185,0.4185
1092,275,500,100,care_sent,-0.4185,0.4185
330,150,275,150,care_sent,0.4184,0.4184
174,100,425,25,care_sent,-0.4183,0.4183
170,100,400,25,care_sent,-0.4183,0.4183
912,250,450,200,care_sent,0.4183,0.4183
2606,475,450,75,care_sent,0.4181,0.4181
382,150,500,100,care_sent,0.4178,0.4178
632,200,500,125,care_sent,0.4176,0.4176
366,150,425,150,care_sent,0.4176,0.4176
1442,325,475,325,care_sent,0.4174,0.4174
1659,375,125,125,care_sent,-0.4173,0.4173
903,250,425,225,care_sent,0.4173,0.4173
1620,350,475,100,care_sent,-0.4173,0.4173
187,100,500,50,care_sent,0.4173,0.4173
629,200,500,50,care_sent,-0.4173,0.4173
2671,500,125,50,care_sent,-0.4171,0.4171
1066,275,425,275,care_sent,0.4171,0.4171
794,250,125,125,care_sent,-0.4169,0.4169
1877,400,225,50,care_sent,0.4169,0.4169
1379,325,375,50,care_sent,-0.4166,0.4166
863,250,325,225,care_sent,0.4165,0.4165
1270,300,500,225,care_sent,0.4165,0.4165
1813,375,475,100,care_sent,-0.4165,0.4165
1239,300,450,50,care_sent,-0.4164,0.4164
1418,325,450,50,care_sent,0.4163,0.4163
1265,300,500,100,care_sent,-0.4163,0.4163
525,200,175,25,care_sent,-0.4158,0.4158
626,200,475,175,care_sent,0.4157,0.4157
2350,450,375,50,care_sent,0.4156,0.4156
33,50,200,25,care_sent,-0.4156,0.4156
883,250,375,225,care_sent,0.4156,0.4156
2030,400,500,175,care_sent,0.4156,0.4156
500,175,500,100,care_sent,0.4155,0.4155
336,150,300,150,care_sent,0.4154,0.4154
1835,375,500,275,care_sent,0.4153,0.4153
488,175,450,150,care_sent,0.4153,0.4153
2649,475,500,225,care_sent,-0.415,0.415
413,175,200,25,care_sent,0.4149,0.4149
2462,475,125,50,care_sent,-0.4148,0.4148
495,175,475,150,care_sent,0.4147,0.4147
1636,350,500,150,care_sent,0.4147,0.4147
178,100,450,25,care_sent,-0.4146,0.4146
182,100,475,25,care_sent,-0.4146,0.4146
342,150,325,150,care_sent,0.4145,0.4145
2038,400,500,375,care_sent,0.4145,0.4145
1405,325,425,50,care_sent,-0.4144,0.4144
253,125,375,100,care_sent,0.4144,0.4144
2248,450,75,50,care_sent,-0.4143,0.4143
1832,375,500,200,care_sent,0.4143,0.4143
469,175,400,25,care_sent,0.4143,0.4143
2455,475,75,50,care_sent,-0.4143,0.4143
2664,500,75,50,care_sent,-0.4143,0.4143
1392,325,400,50,care_sent,-0.4142,0.4142
145,100,225,100,care_sent,0.4141,0.4141
922,250,475,200,care_sent,0.4141,0.4141
1114,300,125,125,care_sent,-0.4141,0.4141
148,100,250,75,care_sent,0.414,0.414
162,100,350,25,care_sent,-0.4139,0.4139
377,150,475,125,care_sent,0.4138,0.4138
604,200,425,25,care_sent,-0.4134,0.4134
2464,475,125,100,care_sent,-0.4132,0.4132
2086,425,250,50,care_sent,0.4132,0.4132
717,225,350,25,care_sent,-0.4131,0.4131
1604,350,450,50,care_sent,0.4131,0.4131
2443,450,500,275,care_sent,0.4131,0.4131
1642,350,500,300,care_sent,0.413,0.413
572,200,325,25,care_sent,0.413,0.413
1837,375,500,325,care_sent,0.413,0.413
2854,500,500,125,care_sent,-0.4129,0.4129
651,225,150,25,care_sent,0.4127,0.4127
1838,375,500,350,care_sent,0.4125,0.4125
2669,500,100,100,care_sent,-0.4125,0.4125
1833,375,500,225,care_sent,0.4124,0.4124
716,225,325,225,care_sent,0.4124,0.4124
715,225,325,200,care_sent,0.4122,0.4122
603,200,400,200,care_sent,0.4122,0.4122
354,150,375,150,care_sent,0.4122,0.4122
1650,375,75,75,care_sent,0.4118,0.4118
1827,375,500,75,care_sent,0.4118,0.4118
2290,450,250,50,care_sent,0.4116,0.4116
2497,475,250,50,care_sent,0.4114,0.4114
950,275,150,25,care_sent,0.4113,0.4113
893,250,400,225,care_sent,0.4113,0.4113
49,50,400,25,care_sent,0.4113,0.4113
2230,425,500,100,care_sent,-0.4113,0.4113
1993,400,450,50,care_sent,0.4111,0.4111
923,250,475,225,care_sent,0.411,0.411
1576,350,400,50,care_sent,-0.4109,0.4109
578,200,325,175,care_sent,0.4107,0.4107
505,200,50,25,care_sent,0.4105,0.4105
1919,400,325,50,care_sent,-0.4105,0.4105
944,275,100,100,care_sent,-0.4104,0.4104
1649,375,75,50,care_sent,-0.4104,0.4104
1932,400,350,50,care_sent,-0.4101,0.4101
388,175,75,25,care_sent,-0.41,0.41
519,200,150,25,care_sent,0.4098,0.4098
348,150,350,150,care_sent,0.4098,0.4098
386,175,50,25,care_sent,0.4096,0.4096
1446,325,500,100,care_sent,-0.4096,0.4096
319,150,250,25,care_sent,0.4096,0.4096
475,175,400,175,care_sent,0.4095,0.4095
2233,425,500,175,care_sent,0.4094,0.4094
775,225,500,125,care_sent,0.4093,0.4093
1249,300,450,300,care_sent,0.4092,0.4092
611,200,425,200,care_sent,0.409,0.409
184,100,475,75,care_sent,0.4089,0.4089
390,175,75,75,care_sent,0.4089,0.4089
180,100,450,75,care_sent,0.4089,0.4089
2243,425,500,425,care_sent,0.4089,0.4089
2054,425,125,125,care_sent,-0.4088,0.4088
434,175,275,25,care_sent,-0.4088,0.4088
1641,350,500,275,care_sent,0.4085,0.4085
501,175,500,125,care_sent,0.4085,0.4085
2687,500,175,175,care_sent,-0.4085,0.4085
913,250,450,225,care_sent,0.4084,0.4084
461,175,350,175,care_sent,0.4084,0.4084
176,100,425,75,care_sent,0.4084,0.4084
790,250,125,25,care_sent,0.4084,0.4084
2039,400,500,400,care_sent,0.4083,0.4083
1261,300,475,300,care_sent,0.4082,0.4082
62,75,75,25,care_sent,-0.4081,0.4081
65,75,100,25,care_sent,-0.4081,0.4081
580,200,350,25,care_sent,0.408,0.408
588,200,375,25,care_sent,0.408,0.408
118,100,50,50,care_sent,-0.4077,0.4077
238,125,300,100,care_sent,0.4075,0.4075
1643,350,500,325,care_sent,0.4075,0.4075
633,200,500,150,care_sent,0.4075,0.4075
1271,300,500,250,care_sent,0.4072,0.4072
468,175,375,175,care_sent,0.4072,0.4072
285,150,75,75,care_sent,0.4071,0.4071
81,75,225,50,care_sent,-0.407,0.407
1105,300,75,75,care_sent,0.4068,0.4068
2471,475,150,150,care_sent,-0.4067,0.4067
1452,325,500,250,care_sent,0.4067,0.4067
1836,375,500,300,care_sent,0.4063,0.4063
250,125,375,25,care_sent,-0.4061,0.4061
2766,500,375,50,care_sent,0.4058,0.4058
931,250,500,175,care_sent,0.4058,0.4058
595,200,375,200,care_sent,0.4058,0.4058
646,225,125,25,care_sent,0.4057,0.4057
956,275,175,25,care_sent,0.4055,0.4055
2739,500,325,50,care_sent,0.4053,0.4053
1097,275,500,225,care_sent,0.4051,0.4051
1961,400,400,50,care_sent,0.405,0.405
1068,275,450,50,care_sent,-0.405,0.405
454,175,325,175,care_sent,0.4049,0.4049
1946,400,375,50,care_sent,-0.4049,0.4049
776,225,500,150,care_sent,0.4047,0.4047
874,250,350,250,care_sent,0.4047,0.4047
92,75,325,25,care_sent,-0.4046,0.4046
2781,500,400,50,care_sent,0.4046,0.4046
2028,400,500,125,care_sent,-0.4046,0.4046
372,150,450,150,care_sent,0.4045,0.4045
2249,450,75,75,care_sent,0.4043,0.4043
378,150,475,150,care_sent,0.4043,0.4043
2045,425,75,75,care_sent,0.4043,0.4043
243,125,325,100,care_sent,0.4042,0.4042
1453,325,500,275,care_sent,0.404,0.404
1781,375,425,50,care_sent,0.404,0.404
1796,375,450,50,care_sent,0.4039,0.4039
2132,425,350,50,care_sent,-0.4039,0.4039
699,225,300,25,care_sent,0.4037,0.4037
2119,425,325,50,care_sent,-0.4037,0.4037
195,125,75,75,care_sent,0.4036,0.4036
596,200,400,25,care_sent,0.4036,0.4036
2365,450,400,50,care_sent,0.4031,0.4031
160,100,325,75,care_sent,0.4028,0.4028
2258,450,125,125,care_sent,-0.4026,0.4026
1279,325,75,75,care_sent,0.4025,0.4025
532,200,200,25,care_sent,0.4024,0.4024
168,100,375,75,care_sent,0.4023,0.4023
1454,325,500,300,care_sent,0.4021,0.4021
945,275,125,25,care_sent,0.402,0.402
2234,425,500,200,care_sent,0.4017,0.4017
105,75,425,50,care_sent,-0.4017,0.4017
2161,425,400,50,care_sent,0.4016,0.4016
2752,500,350,50,care_sent,0.4015,0.4015
233,125,275,100,care_sent,0.4014,0.4014
2146,425,375,50,care_sent,0.4013,0.4013
772,225,500,50,care_sent,-0.4013,0.4013
845,250,300,25,care_sent,0.4011,0.4011
1272,300,500,275,care_sent,0.401,0.401
2530,475,325,50,care_sent,0.401,0.401
27,50,125,25,care_sent,0.401,0.401
89,75,300,25,care_sent,-0.401,0.401
725,225,350,225,care_sent,0.4008,0.4008
1839,375,500,375,care_sent,0.4007,0.4007
2323,450,325,50,care_sent,0.4005,0.4005
1907,400,300,50,care_sent,-0.4005,0.4005
949,275,125,125,care_sent,-0.4003,0.4003
579,200,325,200,care_sent,0.4002,0.4002
2437,450,500,125,care_sent,-0.4001,0.4001
248,125,350,100,care_sent,0.3999,0.3999
172,100,400,75,care_sent,0.3998,0.3998
2336,450,350,50,care_sent,0.3996,0.3996
482,175,425,175,care_sent,0.3995,0.3995
587,200,350,200,care_sent,0.3994,0.3994
152,100,275,75,care_sent,0.3994,0.3994
60,75,50,25,care_sent,-0.3993,0.3993
1077,275,450,275,care_sent,0.3992,0.3992
884,250,375,250,care_sent,0.3991,0.3991
325,150,275,25,care_sent,-0.399,0.399
619,200,450,200,care_sent,0.3988,0.3988
2543,475,350,50,care_sent,0.3988,0.3988
2681,500,175,25,care_sent,-0.3987,0.3987
427,175,250,25,care_sent,0.3987,0.3987
2706,500,250,50,care_sent,0.3986,0.3986
78,75,200,50,care_sent,0.3984,0.3984
808,250,200,25,care_sent,-0.3984,0.3984
2231,425,500,125,care_sent,-0.3983,0.3983
816,250,225,25,care_sent,-0.3982,0.3982
1098,275,500,250,care_sent,0.3982,0.3982
72,75,150,50,care_sent,0.3981,0.3981
264,125,425,125,care_sent,0.3981,0.3981
2557,475,375,50,care_sent,0.3979,0.3979
1896,400,275,50,care_sent,0.3978,0.3978
278,125,500,100,care_sent,0.3973,0.3973
21,50,50,25,care_sent,-0.3972,0.3972
1634,350,500,100,care_sent,-0.3969,0.3969
627,200,475,200,care_sent,0.3968,0.3968
2680,500,150,150,care_sent,-0.3967,0.3967
752,225,425,225,care_sent,0.3966,0.3966
2194,425,450,50,care_sent,0.3965,0.3965
1088,275,475,275,care_sent,0.3964,0.3964
164,100,350,75,care_sent,0.3958,0.3958
781,250,50,25,care_sent,-0.3955,0.3955
2212,425,475,75,care_sent,0.3946,0.3946
234,125,275,125,care_sent,0.3943,0.3943
770,225,475,225,care_sent,0.3943,0.3943
95,75,350,25,care_sent,-0.3941,0.3941
1110,300,125,25,care_sent,0.3938,0.3938
1284,325,125,25,care_sent,0.3938,0.3938
255,125,400,25,care_sent,-0.3937,0.3937
260,125,425,25,care_sent,-0.3937,0.3937
509,200,75,75,care_sent,0.3935,0.3935
778,225,500,200,care_sent,0.3934,0.3934
2572,475,400,50,care_sent,0.3934,0.3934
114,75,500,50,care_sent,0.3933,0.3933
2727,500,300,50,care_sent,0.3932,0.3932
548,200,250,25,care_sent,0.3931,0.3931
496,175,475,175,care_sent,0.3928,0.3928
916,250,475,50,care_sent,-0.3924,0.3924
269,125,450,125,care_sent,0.3922,0.3922
489,175,450,175,care_sent,0.3921,0.3921
274,125,475,125,care_sent,0.3921,0.3921
84,75,250,50,care_sent,-0.3918,0.3918
76,75,175,75,care_sent,0.3917,0.3917
634,200,500,175,care_sent,0.3914,0.3914
73,75,150,75,care_sent,0.3913,0.3913
28,50,125,50,care_sent,0.3912,0.3912
156,100,300,75,care_sent,0.3911,0.3911
1977,400,425,50,care_sent,0.3911,0.3911
761,225,450,225,care_sent,0.3909,0.3909
111,75,475,50,care_sent,-0.3908,0.3908
108,75,450,50,care_sent,-0.3908,0.3908
2518,475,300,50,care_sent,0.3906,0.3906
2311,450,300,50,care_sent,0.3904,0.3904
188,100,500,75,care_sent,0.3904,0.3904
734,225,375,225,care_sent,0.39,0.39
1302,325,200,25,care_sent,0.3899,0.3899
1484,350,200,25,care_sent,0.3899,0.3899
2472,475,175,25,care_sent,-0.3897,0.3897
30,50,150,50,care_sent,0.3894,0.3894
1136,300,225,25,care_sent,0.3894,0.3894
971,275,225,25,care_sent,0.3893,0.3893
1644,350,500,350,care_sent,0.3892,0.3892
502,175,500,150,care_sent,0.389,0.389
1660,375,150,25,care_sent,0.3889,0.3889
785,250,75,75,care_sent,0.3887,0.3887
940,275,75,75,care_sent,0.3887,0.3887
904,250,425,250,care_sent,0.3886,0.3886
384,150,500,150,care_sent,0.3884,0.3884
383,150,500,125,care_sent,0.3883,0.3883
1001,275,300,25,care_sent,0.3883,0.3883
270,125,475,25,care_sent,-0.388,0.388
265,125,450,25,care_sent,-0.388,0.388
1115,300,150,25,care_sent,0.3879,0.3879
2456,475,75,75,care_sent,0.3875,0.3875
420,175,225,25,care_sent,0.3875,0.3875
894,250,400,250,care_sent,0.3874,0.3874
2665,500,75,75,care_sent,0.387,0.387
743,225,400,225,care_sent,0.3869,0.3869
1121,300,175,25,care_sent,-0.3868,0.3868
2265,450,175,25,care_sent,-0.3867,0.3867
1128,300,200,25,care_sent,0.3866,0.3866
2043,425,75,25,care_sent,-0.3863,0.3863
642,225,100,25,care_sent,-0.3861,0.3861
149,100,250,100,care_sent,0.386,0.386
2716,500,275,50,care_sent,-0.3859,0.3859
1673,375,200,25,care_sent,-0.3857,0.3857
1843,400,75,25,care_sent,0.3856,0.3856
641,225,75,75,care_sent,0.3852,0.3852
963,275,200,25,care_sent,-0.3851,0.3851
2107,425,300,50,care_sent,-0.3848,0.3848
51,50,425,25,care_sent,0.3845,0.3845
726,225,375,25,care_sent,0.3844,0.3844
556,200,275,25,care_sent,0.3843,0.3843
1861,400,175,25,care_sent,-0.3843,0.3843
2061,425,175,25,care_sent,-0.3843,0.3843
786,250,100,25,care_sent,0.3838,0.3838
664,225,200,25,care_sent,0.3836,0.3836
1666,375,175,25,care_sent,0.3835,0.3835
932,250,500,200,care_sent,0.3832,0.3832
777,225,500,175,care_sent,0.383,0.383
941,275,100,25,care_sent,0.3828,0.3828
933,250,500,225,care_sent,0.3828,0.3828
244,125,325,125,care_sent,0.3828,0.3828
391,175,100,25,care_sent,-0.3828,0.3828
2507,475,275,50,care_sent,-0.3827,0.3827
259,125,400,125,care_sent,0.3827,0.3827
672,225,225,25,care_sent,-0.3824,0.3824
39,50,275,25,care_sent,0.3818,0.3818
924,250,475,250,care_sent,0.3817,0.3817
2465,475,125,125,care_sent,-0.3816,0.3816
87,75,275,50,care_sent,-0.3815,0.3815
510,200,100,25,care_sent,-0.3808,0.3808
5,25,150,25,care_sent,0.3806,0.3806
612,200,450,25,care_sent,0.3806,0.3806
275,125,500,25,care_sent,-0.3804,0.3804
914,250,450,250,care_sent,0.3804,0.3804
1846,400,100,25,care_sent,0.3802,0.3802
735,225,400,25,care_sent,0.38,0.38
102,75,400,50,care_sent,0.38,0.38
1455,325,500,325,care_sent,0.3798,0.3798
6,25,175,25,care_sent,0.3794,0.3794
2096,425,275,50,care_sent,-0.3793,0.3793
1492,350,225,25,care_sent,-0.3792,0.3792
1310,325,225,25,care_sent,-0.3792,0.3792
2645,475,500,125,care_sent,-0.3785,0.3785
279,125,500,125,care_sent,0.3783,0.3783
99,75,375,50,care_sent,0.3783,0.3783
885,250,400,25,care_sent,0.3782,0.3782
