,h,l,n,authority_sent,cor,cor_abs
116,100,25,25,authority_sent,-0.2172,0.2172
117,100,50,25,authority_sent,0.3933,0.3933
118,100,50,50,authority_sent,-0.29,0.29
119,100,75,25,authority_sent,-0.418,0.418
120,100,75,50,authority_sent,0.4494,0.4494
121,100,75,75,authority_sent,0.3735,0.3735
122,100,100,25,authority_sent,0.4224,0.4224
123,100,100,50,authority_sent,-0.4711,0.4711
124,100,100,75,authority_sent,0.4719,0.4719
125,100,100,100,authority_sent,0.3646,0.3646
126,100,125,25,authority_sent,0.3533,0.3533
127,100,125,50,authority_sent,0.447,0.447
128,100,125,75,authority_sent,-0.4713,0.4713
129,100,125,100,authority_sent,0.475,0.475
130,100,150,25,authority_sent,-0.3538,0.3538
131,100,150,50,authority_sent,0.4293,0.4293
132,100,150,75,authority_sent,0.4418,0.4418
133,100,150,100,authority_sent,0.4464,0.4464
134,100,175,25,authority_sent,-0.3683,0.3683
135,100,175,50,authority_sent,0.4221,0.4221
136,100,175,75,authority_sent,0.4166,0.4166
137,100,175,100,authority_sent,0.4219,0.4219
138,100,200,25,authority_sent,-0.4239,0.4239
139,100,200,50,authority_sent,0.4162,0.4162
140,100,200,75,authority_sent,0.4202,0.4202
141,100,200,100,authority_sent,0.4158,0.4158
142,100,225,25,authority_sent,-0.378,0.378
143,100,225,50,authority_sent,-0.4359,0.4359
144,100,225,75,authority_sent,0.4202,0.4202
145,100,225,100,authority_sent,0.41,0.41
146,100,250,25,authority_sent,-0.2888,0.2888
147,100,250,50,authority_sent,-0.427,0.427
148,100,250,75,authority_sent,0.4073,0.4073
149,100,250,100,authority_sent,0.3997,0.3997
150,100,275,25,authority_sent,-0.2832,0.2832
151,100,275,50,authority_sent,-0.3832,0.3832
152,100,275,75,authority_sent,0.394,0.394
153,100,275,100,authority_sent,0.3528,0.3528
154,100,300,25,authority_sent,-0.2596,0.2596
155,100,300,50,authority_sent,-0.391,0.391
156,100,300,75,authority_sent,0.3897,0.3897
157,100,300,100,authority_sent,0.3722,0.3722
158,100,325,25,authority_sent,-0.2596,0.2596
159,100,325,50,authority_sent,-0.393,0.393
160,100,325,75,authority_sent,0.4033,0.4033
161,100,325,100,authority_sent,0.3675,0.3675
162,100,350,25,authority_sent,0.2923,0.2923
163,100,350,50,authority_sent,-0.3862,0.3862
