,train,test
0,0.4250005675862988,0.4372930769146205
1,0.43459651524347837,0.45046309581424154
2,0.4343659169618256,0.436673456831121
3,0.4269469087809703,0.43665200072509924
4,0.4207915317539849,0.4185921265143605
5,0.41891262162684995,0.41461962842421535
6,0.41890114774762666,0.41461962842421535
7,0.4418782917943045,0.451386622027928
8,0.4758682887110083,0.4794339889252384
9,0.4667887708809244,0.47590309171787065
10,0.4758425994195616,0.48945793711913005
11,0.536790165921937,0.5483502686434585
12,0.604239954271475,0.5982628941560442
13,0.6060600890039365,0.5960528205313183
14,0.611136902030661,0.609398935291255
15,0.6159899273939583,0.6138839028096529
16,0.6146241612333075,0.6146655133374089
17,0.6350744852241875,0.6254964917965289
18,0.6372933795412236,0.6320499838937813
19,0.6464394012315497,0.6423639176005099
20,0.6519970140954199,0.6401489222560447
21,0.6574299462096258,0.6400078314216279
22,0.6588842995454856,0.6431942739550587
23,0.6614502456252564,0.6369391252211198
24,0.6662737834004027,0.6475720772782042
25,0.664100105331609,0.6523125380245839
26,0.6698383394689326,0.6567340712876361
27,0.679443984960235,0.6480624785098082
28,0.6888028995567752,0.6504113232797567
29,0.6920040893643384,0.6544972240901245
30,0.6941959508752311,0.657097070520679
31,0.6979323806130371,0.6601212341432388
32,0.7164272706182283,0.6652908330322715
33,0.7175679723197756,0.6637875745902284
34,0.7211934660113778,0.6729604932438243
35,0.7273192817296377,0.6748887819619153
36,0.7341444190597431,0.6689351748216261
37,0.7422758918766115,0.6762104066798242
38,0.7476789182019892,0.6816161384398407
39,0.7477127932928952,0.6773819944780809
40,0.7474055243276151,0.681973846514859
41,0.7618007627155943,0.6867339565049454
42,0.7640335668485521,0.6870532221205204
43,0.7650118706156236,0.6901916349737071
44,0.7662963013787489,0.6901916349737071
45,0.7670577208385656,0.6901916349737071
46,0.7656260572952012,0.695506796671415
47,0.766389735234271,0.695506796671415
48,0.7659498844326112,0.695506796671415
49,0.7659498844326112,0.695506796671415
