word,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent
fatalities,0.3,0.117647059,0,0.114285714,0.12195122,-0.730733333,-0.65745,0,-0.64695,-0.59228
bomb,0.385714286,0.130434783,0.113924051,0.172413793,0.150943396,-0.730351852,-0.586266667,-0.692955556,-0.68041,-0.7348875
bloody,0.227272727,0,0,0.238095238,0.25,-0.72944,0,0,-0.55588,-0.54516
cathedral,0.227272727,0.269230769,0.1,0.24,0.25,-0.72654,-0.389628571,-0.33525,-0.459533333,-0.5314
abuse,0.263157895,0.181818182,0.258823529,0.120689655,0.235294118,-0.72613,-0.737111111,-0.738054545,-0.73455,-0.734328125
racist,0.34939759,0.2,0.131313131,0.193548387,0.292682927,-0.723089655,-0.670822222,-0.7274,-0.700961111,-0.739820833
guilty,0.2,0.230769231,0.108108108,0.161290323,0.142857143,-0.72012,-0.591991667,-0.7356,-0.65064,-0.568733333
assassination,0.444444444,0.090909091,0.130434783,0.125,0.12,-0.71965,-0.87675,-0.684766667,-0.917,-0.714266667
killings,0.2,0.237288136,0.173913043,0.14893617,0.032786885,-0.719633333,-0.814578571,-0.68535,-0.772085714,-0.6214
disappointed,0.166666667,0.076923077,0.24137931,0.066666667,0.166666667,-0.71875,-0.67485,-0.258485714,-0.2023,-0.5308
terrorist,0.158974359,0.092436975,0.154761905,0.120622568,0.134146341,-0.716667742,-0.692672727,-0.697135897,-0.781170968,-0.69595
charges,0.122302158,0.213793103,0.071428571,0.088050314,0.108280255,-0.714694118,-0.537067742,-0.56897,-0.332842857,-0.5345
suffered,0.256097561,0.035714286,0.092105263,0.041666667,0.152542373,-0.713761905,-0.388566667,-0.718771429,-0.6302,-0.670977778
upset,0.159090909,0.05,0.095238095,0.166666667,0.135135135,-0.713457143,-0.46475,-0.535925,-0.629255556,-0.48494
terrorists,0.185185185,0.237623762,0.172727273,0.263157895,0.214285714,-0.713073333,-0.6934125,-0.6457,-0.622735,-0.673455556
death,0.208602151,0.116945107,0.100502513,0.080246914,0.125252525,-0.712507216,-0.711506122,-0.7466925,-0.733594872,-0.756872581
prosecuted,0.285714286,0.242424242,0.133333333,0.296296296,0.111111111,-0.7107,-0.4635375,-0.831725,-0.495325,-0.8116
blamed,0.239130435,0.125,0.192307692,0.156862745,0,-0.7105,-0.585966667,-0.55615,-0.6387,0
angry,0.195121951,0.109090909,0.210526316,0.155555556,0.076923077,-0.7093125,-0.677333333,-0.68245,-0.714414286,-0.6706
referring,0.04,0.063157895,0.032258065,0.041666667,0.025316456,-0.707666667,-0.348933333,-0.272866667,-0.1876,0.23835
rape,0.384615385,0.25,0.076923077,0.1,0.4375,-0.70751,-0.91465,-0.8519,-0.5719,-0.782
threats,0.230769231,0.090163934,0.153846154,0.208,0.162393162,-0.701444444,-0.636536364,-0.672916667,-0.609738462,-0.699652632
unacceptable,0.307692308,0.266666667,0.228571429,0.166666667,0.153846154,-0.70095,-0.55895,-0.591075,-0.36475,-0.6103
instances,0.041666667,0.428571429,0.153846154,0.125,0,-0.7003,-0.557483333,-0.40235,-0.010233333,0
vice,0.006097561,0.016666667,0.026845638,0.064748201,0.018348624,-0.7003,-0.0234,-0.025675,-0.281422222,-0.35015
desperate,0.03125,0.181818182,0.054054054,0.066666667,0.09375,-0.6997,-0.350483333,-0.0341,-0.69025,-0.1288
gang,0.119402985,0.111111111,0,0.285714286,0.318181818,-0.6983625,-0.52632,0,-0.4616875,-0.644785714
boycott,0.166666667,0.142857143,0.166666667,0,0.166666667,-0.69684,-0.0376,-0.22394,0,-0.33588
kill,0.4,0.174757282,0.240740741,0.202531646,0.217821782,-0.6956275,-0.796594444,-0.668615385,-0.7517875,-0.684513636
hunger,0.1875,0,0.043478261,0.1,0.178571429,-0.694983333,0,-0.3612,-0.511666667,-0.53369
violent,0.211538462,0.123076923,0.142857143,0.153333333,0.159292035,-0.692822727,-0.700025,-0.622176471,-0.697343478,-0.679983333
violence,0.254480287,0.136778116,0.106312292,0.154340836,0.182186235,-0.691077465,-0.69344,-0.696228125,-0.66610625,-0.563002222
headlines,0.027027027,0.066666667,0.068965517,0.129032258,0.12195122,-0.6908,0.3062,-0.1696,-0.126725,-0.09228
surprised,0.03030303,0.102040816,0.12195122,0,0.054054054,-0.6908,0.04506,-0.0456,0,-0.2814
proved,0.02,0.076923077,0.056603774,0.115384615,0.142857143,-0.6908,0.2609,0.114033333,-0.271266667,0.057516667
threatening,0.40625,0.181818182,0.25,0.315789474,0.205128205,-0.690061538,-0.65795,-0.589844444,-0.628183333,-0.6133375
trapped,0.32,0.2,0.03030303,0.041666667,0.192307692,-0.6894625,-0.608216667,-0.9201,-0.7845,-0.73258
fatally,0.333333333,0.117647059,0,0,0.214285714,-0.68844,-0.7916,0,0,-0.743233333
exhausted,0.315789474,0.052631579,0.148148148,0.142857143,0,-0.687816667,-0.3612,-0.4868,-0.660233333,0
accusing,0.076923077,0.225,0.233333333,0.210526316,0.157894737,-0.6873,-0.440455556,-0.330142857,-0.3717375,-0.4643
deport,0.181818182,0.272727273,0.066666667,0.269230769,0.28,-0.685,-0.168883333,-0.8555,-0.189242857,-0.460828571
heroin,0.176470588,0,0.03030303,0,0.181818182,-0.683666667,0,-0.4939,0,-0.69895
rally,0.032786885,0.114754098,0.158730159,0.081967213,0.063492063,-0.6822,-0.193128571,0.00066,0.25384,-0.36225
fake,0.088235294,0.310344828,0.085365854,0.079365079,0.162790698,-0.68185,-0.342044444,-0.557528571,-0.57734,-0.475242857
speaker,0.008695652,0.021276596,0.030927835,0.033707865,0.011764706,-0.6808,-0.0172,-0.347333333,-0.016566667,0
injured,0.397058824,0.140350877,0.089552239,0.085714286,0.145833333,-0.680718519,-0.67195,-0.7516,-0.797566667,-0.714642857
blocking,0.107142857,0.138888889,0.058823529,0.235294118,0.090909091,-0.68,-0.44038,-0.5748,-0.4391125,-0.46385
lies,0.090909091,0.308823529,0.083333333,0.085365854,0.203389831,-0.67974,-0.544671429,-0.36152,-0.550328571,-0.622083333
brutal,0.294117647,0.122807018,0.128205128,0.146341463,0.125,-0.679566667,-0.514442857,-0.6719,-0.745433333,-0.638633333
